turn,city,resource,price,demand,supply,traded,imported,exported,stock,satisfaction,city_money
13,Farmland,Tools,6.6763,4.9192,8.7424,4.9192,0.0000,0.0000,4.3984,0.5946,883.9781
13,Forresty,Food,1.9828,15.0195,40.7700,16.0892,0.0000,0.0000,11.8904,0.4983,338.1328
13,Forresty,Wood,0.3103,156.2811,145.1436,32.1820,0.0000,112.9616,37.0135,0.6335,338.1328
13,Forresty,Tools,8.1369,5.0295,18.3306,1.2668,9.1297,0.0000,14.8730,0.9902,338.1328
13,Craftovo,Food,1.7664,29.8360,32.1102,32.1102,0.0000,0.0000,0.2449,0.7254,744.7693
13,Craftovo,Wood,0.9136,57.3452,140.7171,28.8043,44.0159,0.0000,83.7212,0.7863,744.7693
13,Craftovo,Tools,3.1265,15.3508,14.6698,3.6674,0.0000,11.0023,4.0336,0.6653,744.7693
14,Capitalist,Food,1.4301,95.5844,130.5837,30.8078,64.7766,45.8478,34.6353,1.0000,2540.8761
14,Capitalist,Wood,0.6656,192.2868,199.5484,77.3644,114.9224,40.2592,99.8119,1.0000,2540.8761
14,Capitalist,Tools,6.3336,18.4640,18.8762,7.1917,11.2723,9.6763,6.9007,1.0000,2540.8761
14,Farmland,Food,0.6193,72.9295,77.9267,9.7408,0.0000,68.1859,10.5613,0.5435,906.6112
14,Farmland,Wood,0.8338,47.5447,85.0307,67.1761,38.2462,0.0000,16.3457,1.0000,906.6112
14,Farmland,Tools,6.0087,4.9748,9.4948,4.9748,0.0000,0.0000,5.4386,0.5946,906.6112
14,Forresty,Food,1.7845,9.0287,41.0206,10.1925,0.0000,0.0000,15.4637,0.4145,324.8666
14,Forresty,Wood,0.2793,115.3661,161.2946,40.3237,0.0000,120.9710,34.1132,0.6912,324.8666
14,Forresty,Tools,7.3232,4.8727,20.1549,1.6887,9.1925,0.0000,16.7152,1.0000,324.8666
14,Craftovo,Food,1.8182,30.8386,29.9599,6.9451,43.5554,0.0000,12.8511,0.9653,727.6461
14,Craftovo,Wood,0.8222,60.4295,145.9052,47.8787,0.0000,0.0000,76.4287,0.5946,727.6461
14,Craftovo,Tools,3.0413,15.0064,15.4268,3.5612,0.0000,11.8656,3.8341,0.6578,727.6461
15,Capitalist,Food,1.3114,98.3825,107.2874,34.2603,64.1222,68.8007,13.6032,1.0000,2478.8095
15,Capitalist,Wood,0.5990,188.2882,230.1096,69.2687,119.0195,18.5014,149.3721,1.0000,2478.8095
15,Capitalist,Tools,6.0630,18.4252,19.2477,4.6289,13.7963,0.0000,17.9149,1.0000,2478.8095
15,Farmland,Food,0.6485,75.3867,71.9969,4.4998,0.0000,67.4971,11.3990,0.4692,958.1129
15,Farmland,Wood,0.7504,48.7804,75.6270,75.6270,17.5763,0.0000,2.7208,0.9439,958.1129
15,Farmland,Tools,5.4078,5.0335,9.7292,6.4281,0.0000,0.0000,4.8747,0.6934,958.1129
15,Forresty,Food,1.6060,10.9592,47.4425,3.1821,28.7984,0.0000,22.8014,0.7205,323.7298
15,Forresty,Wood,0.2596,130.8735,140.7970,15.5134,0.0000,125.2836,38.2792,0.5153,323.7298
15,Forresty,Tools,6.5909,4.9258,21.1472,5.5369,0.0000,0.0000,14.4709,0.6552,323.7298
15,Craftovo,Food,1.6364,29.2218,41.1881,16.7004,36.5623,0.0000,13.9651,1.0000,739.3478
15,Craftovo,Wood,0.7400,62.0543,129.5001,55.8054,0.0000,0.0000,61.7410,0.6437,739.3478
15,Craftovo,Tools,2.9872,15.2152,15.4906,0.9682,0.0000,14.5224,3.9550,0.4740,739.3478
16,Capitalist,Food,1.4425,100.3137,88.2743,36.6140,63.6997,0.0000,40.6149,1.0000,2375.3412
16,Capitalist,Wood,0.5391,196.9581,270.3715,79.7461,117.2120,84.5210,134.7122,1.0000,2375.3412
16,Capitalist,Tools,5.4567,18.7062,28.9616,5.6276,13.0785,0.0000,25.9163,1.0000,2375.3412
16,Farmland,Food,0.6234,73.6723,76.6312,9.5789,0.0000,67.0523,10.8146,0.5412,985.2780
16,Farmland,Wood,0.6754,52.8274,60.3236,60.3236,38.4000,0.0000,4.4151,0.9699,985.2780
16,Farmland,Tools,4.8670,5.0953,9.0591,7.3213,0.0000,0.0000,4.0436,0.7523,985.2780
16,Forresty,Food,1.4454,25.4225,53.1937,49.7982,0.0000,0.0000,4.1294,0.9401,370.2924
16,Forresty,Wood,0.2856,164.6652,146.7621,23.3811,0.0000,123.3811,41.3008,0.5711,370.2924
16,Forresty,Tools,5.9318,4.9818,18.8007,6.1074,0.0000,0.0000,12.4423,0.6744,370.2924
16,Craftovo,Food,1.4728,26.5053,42.0941,42.0941,0.0000,0.0000,1.8861,0.8598,769.0884
16,Craftovo,Wood,0.6660,53.5777,115.0080,32.5405,41.8949,0.0000,72.0744,0.7701,769.0884
16,Craftovo,Tools,2.9148,15.3523,15.7336,1.9667,0.0000,13.7669,4.0345,0.5448,769.0884
17,Capitalist,Food,1.2983,92.9763,105.1373,29.1344,63.8419,46.5141,25.9128,1.0000,2323.9806
17,Capitalist,Wood,0.4852,200.4952,241.6845,76.4920,124.0032,40.3997,161.9221,1.0000,2323.9806
17,Capitalist,Tools,4.9110,19.5113,37.3023,8.4630,11.0483,0.0000,32.0822,1.0000,2323.9806
17,Farmland,Food,0.6099,75.1372,76.8023,9.6003,0.0000,67.2020,11.3140,0.5415,1012.6477
17,Farmland,Wood,0.6083,55.6850,61.8251,61.8251,38.3797,0.0000,6.2011,0.9804,1012.6477
17,Farmland,Tools,4.3803,5.1605,7.5674,7.5674,0.0000,0.0000,2.7848,0.7907,1012.6477
17,Forresty,Food,1.3009,25.5892,29.3652,29.3652,0.0000,0.0000,1.6808,0.7053,415.7563
17,Forresty,Wood,0.2784,157.0021,161.0594,30.5297,0.0000,130.5297,37.3822,0.6218,415.7563
17,Forresty,Tools,5.3386,5.0409,16.1072,9.7046,0.0000,0.0000,7.5704,0.9251,415.7563
17,Craftovo,Food,1.5422,29.6768,28.3403,6.2866,44.1884,0.0000,14.4945,0.9446,747.6154
17,Craftovo,Wood,0.5994,59.1071,121.5308,50.4997,0.0000,0.0000,67.4538,0.5946,747.6154
17,Craftovo,Tools,2.7813,15.5417,16.2878,4.6580,0.0000,11.6298,4.1443,0.7355,747.6154
18,Capitalist,Food,1.4074,101.0836,93.2475,42.7061,58.3775,0.0000,40.4470,1.0000,2304.3934
18,Capitalist,Wood,0.4367,204.2236,265.8163,89.6240,47.5000,176.1922,31.9101,1.0000,2304.3934
18,Capitalist,Tools,4.4199,19.7601,41.5526,8.3361,11.4240,0.0000,37.3697,1.0000,2304.3934
18,Farmland,Food,0.6597,75.9652,70.2285,8.7786,0.0000,61.4500,11.5962,0.5298,1000.1381
18,Farmland,Wood,0.6217,60.1705,58.8779,12.1356,119.8826,0.0000,64.9147,1.0000,1000.1381
18,Farmland,Tools,4.8183,5.7432,5.1849,5.1849,0.0000,0.0000,3.0901,0.6159,1000.1381
18,Forresty,Food,1.3112,28.3715,28.1473,28.1473,0.0000,0.0000,2.2874,0.6692,436.4984
18,Forresty,Wood,0.2933,159.0178,150.9225,100.9225,0.0000,50.0000,51.1804,1.0000,436.4984
18,Forresty,Tools,4.8047,5.1031,11.0335,11.0335,0.0000,0.0000,2.8071,1.0000,436.4984
18,Craftovo,Food,1.3880,32.5660,41.4144,41.4144,0.0000,0.0000,1.5847,0.8767,758.9701
18,Craftovo,Wood,0.5395,72.9882,111.8978,38.2065,47.5000,0.0000,73.6197,0.8379,758.9701
18,Craftovo,Tools,2.7599,15.9104,16.0337,4.0084,0.0000,12.0253,4.3579,0.6895,758.9701
19,Capitalist,Food,1.2666,93.9853,111.4725,29.9109,64.0744,50.0000,27.8688,1.0000,2358.7307
19,Capitalist,Wood,0.4803,258.4783,149.4874,139.5938,118.8844,0.0000,104.3144,1.0000,2358.7307
19,Capitalist,Tools,3.9779,20.0223,43.6185,11.9621,8.0602,26.8093,14.9073,1.0000,2358.7307
19,Farmland,Food,0.6698,73.0406,71.9432,4.4964,0.0000,67.4467,10.5992,0.4691,1005.9884
19,Farmland,Wood,0.5595,48.6691,99.5482,70.9472,0.0000,0.0000,38.3329,0.8405,1005.9884
19,Farmland,Tools,4.3365,5.2000,6.0132,0.0000,13.4016,0.0000,10.3965,1.0000,1005.9884
19,Forresty,Food,1.3780,30.6187,29.1349,29.1349,0.0000,0.0000,4.4836,0.6196,417.6012
19,Forresty,Wood,0.2700,142.1498,154.4348,29.2934,0.0000,125.1415,36.3161,0.7035,417.6012
19,Forresty,Tools,5.2852,6.2093,5.3482,1.1769,12.0672,0.0000,8.8553,1.0000,417.6012
19,Craftovo,Food,1.5268,35.1755,29.1540,1.3865,47.5000,0.0000,18.0867,0.9019,717.6797
19,Craftovo,Wood,0.4855,72.8044,107.7729,52.2972,0.0000,0.0000,64.3544,0.5946,717.6797
19,Craftovo,Tools,2.5978,15.9719,16.9688,8.4844,0.0000,8.4844,4.4732,1.0000,717.6797
20,Capitalist,Food,1.3094,101.7938,98.4700,29.1029,72.6909,0.0000,50.8292,1.0000,2230.6751
20,Capitalist,Wood,0.5268,185.5822,169.2033,38.2461,147.3361,0.0000,181.8179,1.0000,2230.6751
20,Capitalist,Tools,3.9104,20.2986,20.6492,6.5211,13.7775,10.3246,15.7611,1.0000,2230.6751
20,Farmland,Food,0.6246,72.4898,77.7313,1.2146,0.0000,76.5167,10.4114,0.4226,1065.0642
20,Farmland,Wood,0.5036,51.9723,76.7028,76.7028,0.0000,0.0000,9.6359,0.8791,1065.0642
20,Farmland,Tools,3.9029,5.2360,10.8632,10.8632,0.0000,0.0000,5.4400,1.0000,1065.0642
20,Forresty,Food,1.2681,26.6055,28.9117,28.9117,0.0000,0.0000,2.9057,0.6848,418.5215
20,Forresty,Wood,0.2970,161.4728,144.3662,32.5077,0.0000,111.8585,39.6683,0.6358,418.5215
20,Forresty,Tools,4.7567,4.9078,10.0249,0.4818,9.8084,0.0000,12.6160,1.0000,418.5215
20,Craftovo,Food,1.3741,38.3316,44.1581,44.1581,0.0000,0.0000,1.3779,0.9287,785.7391
20,Craftovo,Wood,0.4842,98.6655,98.9373,55.7052,0.0000,43.2321,12.4463,0.7530,785.7391
20,Craftovo,Tools,2.7512,16.3833,15.4695,0.9668,0.0000,14.5027,4.6781,0.4796,785.7391
21,Capitalist,Food,1.1784,97.1514,123.3781,23.3781,60.0042,100.0000,7.9594,1.0000,2277.8152
21,Capitalist,Wood,0.4742,183.4204,273.3877,104.8758,78.5445,40.9768,166.9543,1.0000,2277.8152
21,Capitalist,Tools,3.9470,19.3245,19.1450,12.0859,7.2385,0.0000,18.8200,1.0000,2277.8152
21,Farmland,Food,0.6495,75.0648,72.1855,9.0232,0.0000,63.1623,11.2893,0.5333,1090.9013
21,Farmland,Wood,0.5539,68.4655,59.0239,59.0239,38.9280,0.0000,11.7043,0.9645,1090.9013
